IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,172.20.10.4,58691,142.250.184.174,443,10125,Google Play Store,UDP,Closed,,434,5520,7,7,1673892817426,1673892817485
6,172.20.10.4,34805,35.239.22.149,443,10174,BeReal.,HTTPS,Active,,1988,7565,27,12,1673892818371,1673892881069
17,172.20.10.4,59707,185.179.104.7,123,10174,BeReal.,NTP,Closed,,76,0,1,0,1673892818609,1673892818609
6,172.20.10.4,39470,3.233.152.248,443,10174,BeReal.,TLS,Closed,,239,313,4,5,1673892823683,1673892823829
6,172.20.10.4,59960,172.20.10.2,8888,10121,Google Play services,TCP,Active,,246,318,3,4,1673892834321,1673892869970
6,172.20.10.4,43080,172.217.168.170,443,10174,BeReal.,TCP,Active,,1450,138,3,2,1673892844011,1673892846315
6,172.20.10.4,58697,44.236.241.243,443,10174,BeReal.,HTTPS,Active,,43076,772,36,10,1673892855652,1673892895752
6,172.20.10.4,59566,93.184.221.183,443,10174,BeReal.,HTTPS,Active,,47071,2003941,783,1411,1673892873983,1673892881482
17,172.20.10.4,54583,172.20.10.1,53,10121,Google Play services,DNS,Closed,geomobileservices-pa.googleapis.com,81,225,1,1,1673892874016,1673892875204
6,172.20.10.4,49473,142.250.184.170,443,10121,Google Play services,TLS,Active,geomobileservices-pa.googleapis.com,2472,6807,17,17,1673892875238,1673892876075
6,172.20.10.4,49474,142.250.184.170,443,10121,Google Play services,TLS,Active,geomobileservices-pa.googleapis.com,2668,6594,21,15,1673892875992,1673892876515
6,172.20.10.4,49475,142.250.184.170,443,10121,Google Play services,TLS,Active,geomobileservices-pa.googleapis.com,2564,7639,19,19,1673892878724,1673892880175
6,172.20.10.4,49476,142.250.184.170,443,10121,Google Play services,TLS,Active,geomobileservices-pa.googleapis.com,2436,6735,17,17,1673892880105,1673892880485
17,172.20.10.4,35998,185.179.104.7,123,-1,Unknown,NTP,Active,,0,76,0,1,1673892880829,1673892880829
6,172.20.10.4,49477,142.250.184.170,443,10121,Google Play services,TLS,Active,geomobileservices-pa.googleapis.com,2436,6738,17,15,1673892881264,1673892881835
17,172.20.10.4,35596,216.58.209.74,443,10125,Google Play Store,QUIC,Active,,2881,6554,5,8,1673892884715,1673892884905
6,172.20.10.4,35896,216.58.209.74,443,10125,Google Play Store,HTTPS,Active,,491,904,6,8,1673892884717,1673892884838
